,POLYLINE
1372636858620000589,"[[-8.618643, 41.141412], [-8.618578346938776, 41.141395836734695], [-8.618513693877551, 41.14137967346939], [-8.619132857142857, 41.14176942857143], [-8.619953142857144, 41.14227857142857], [-8.620773428571429, 41.14282959183674], [-8.621593714285716, 41.14341551020408], [-8.622410142857143, 41.143894714285715], [-8.62321830612245, 41.144145244897956], [-8.624064306122449, 41.144389530612244], [-8.625288673469388, 41.14457136734694], [-8.626513040816327, 41.14475320408164], [-8.626948714285716, 41.144746591836736], [-8.627259857142857, 41.1447102244898], [-8.628188142857143, 41.144843571428574], [-8.629469081632653, 41.145073897959186], [-8.630688857142857, 41.14552408163265], [-8.631820285714285, 41.1462918367347], [-8.632663714285714, 41.147026530612244], [-8.632211142857143, 41.147612448979594], [-8.631758571428572, 41.148198367346936], [-8.630966571428571, 41.14915071428571], [-8.630158408163265, 41.15012051020408], [-8.62966763265306, 41.150655367346936], [-8.629295877551021, 41.15102712244898], [-8.629114040816328, 41.15121906122449], [-8.62912212244898, 41.15123118367347], [-8.62908612244898, 41.151357918367346], [-8.628932571428571, 41.151790285714284], [-8.628783979591837, 41.152206489795915], [-8.628739530612245, 41.152283265306124], [-8.628695081632653, 41.152360040816326], [-8.628713448979592, 41.15242689795919], [-8.628745775510204, 41.15249155102041], [-8.629310571428572, 41.15256097959183], [-8.630244000000001, 41.15263371428571], [-8.631080448979592, 41.15273583673469], [-8.63174718367347, 41.1528893877551], [-8.63225081632653, 41.15311181632653], [-8.631721469387756, 41.15377046938775], [-8.631192122448981, 41.15442912244898], [-8.631015428571429, 41.15449634693878], [-8.630874, 41.15450442857143], [-8.630829, 41.15450975510204], [-8.630829, 41.15451379591837], [-8.630829, 41.154512326530615], [-8.630829, 41.15450424489796], [-8.630829918367347, 41.15449708163265], [-8.630833959183674, 41.15449304081633], [-8.630838, 41.154489]]"
1372637303620000596,"[[-8.639847, 41.159826], [-8.640032142857143, 41.159842530612245], [-8.640217285714286, 41.159859061224495], [-8.640539265306122, 41.159895795918366], [-8.641217020408163, 41.15998506122449], [-8.641894775510204, 41.16007432653061], [-8.642657020408164, 41.160191142857144], [-8.643486857142857, 41.16033], [-8.64431669387755, 41.16046885714285], [-8.645209897959184, 41.16063251020408], [-8.646115775510205, 41.16080112244898], [-8.647046632653062, 41.16097304081632], [-8.648177326530613, 41.16117140816326], [-8.649308020408164, 41.1613697755102], [-8.65045157142857, 41.16156814285714], [-8.651615326530612, 41.16176651020408], [-8.652779081632653, 41.16196487755102], [-8.653967081632652, 41.16216544897959], [-8.655167204081634, 41.16236712244898], [-8.656367326530614, 41.16256879591837], [-8.65773293877551, 41.162792326530614], [-8.659108285714286, 41.16301714285714], [-8.660417510204082, 41.16323240816327], [-8.661495306122449, 41.163414244897965], [-8.662573102040817, 41.163596081632654], [-8.663685612244898, 41.163781224489796], [-8.664832836734695, 41.16396967346939], [-8.66598006122449, 41.16415812244898], [-8.667073285714286, 41.164344], [-8.668151081632653, 41.16452914285714], [-8.669203346938776, 41.16471281632653], [-8.669821591836735, 41.16487151020408], [-8.670439836734694, 41.16503020408163], [-8.670863020408163, 41.16531232653061], [-8.670896081632653, 41.165841306122445], [-8.670929142857142, 41.16637028571429], [-8.670642979591838, 41.16688714285714], [-8.670153673469388, 41.16739628571429], [-8.66966436734694, 41.16790542857143], [-8.669116285714287, 41.16829702040816], [-8.668560857142857, 41.16867391836735], [-8.668008734693878, 41.16905026530612], [-8.667473142857142, 41.16942385714286], [-8.666937551020407, 41.169797448979594], [-8.666497469387755, 41.17010785714286], [-8.666176775510204, 41.170339285714284], [-8.665856081632654, 41.17057071428571], [-8.665759836734694, 41.17064455102041], [-8.665749918367347, 41.1706577755102], [-8.66574, 41.170671]]"
1372636951620000320,"[[-8.612964, 41.140359], [-8.613634224489797, 41.14032795918367], [-8.614556632653061, 41.14033310204082], [-8.61581442857143, 41.1404423877551], [-8.617027224489796, 41.1407838367347], [-8.619613346938776, 41.14214265306123], [-8.622242081632653, 41.14388093877551], [-8.625399428571429, 41.144794714285716], [-8.628624, 41.144931], [-8.631454775510203, 41.14614581632653], [-8.632502448979592, 41.14740526530612], [-8.630686653061225, 41.149455061224494], [-8.629100816326531, 41.15160385714285], [-8.628583591836735, 41.152456102040816], [-8.629228285714285, 41.15269285714285], [-8.631760959183673, 41.15277532653061], [-8.634881204081632, 41.15258504081633], [-8.638246836734695, 41.153128714285714], [-8.641301326530613, 41.153805], [-8.643725816326532, 41.15441773469388], [-8.646717489795918, 41.15433159183674], [-8.648994857142856, 41.15431542857143], [-8.649748653061224, 41.15434922448979], [-8.649838836734693, 41.15429926530612], [-8.649900734693878, 41.15428824489796], [-8.649912489795918, 41.15427648979592], [-8.601444918367347, 41.142247346938774], [-8.610737142857143, 41.14420732653061], [-8.65026, 41.154018428571426], [-8.650379204081633, 41.15382979591837], [-8.650273040816327, 41.153672938775514], [-8.649635326530612, 41.15287506122449], [-8.649232897959184, 41.15241440816327], [-8.649650387755102, 41.1511367755102], [-8.649117, 41.14989293877551], [-8.648757, 41.148489857142856], [-8.648406918367348, 41.14822867346938], [-8.647049204081632, 41.148407938775506], [-8.644624714285714, 41.148237489795925], [-8.642830224489796, 41.148033612244895], [-8.640144367346938, 41.148357795918365], [-8.636424979591837, 41.14813775510204], [-8.633571428571429, 41.14728514285714], [-8.631229408163266, 41.14596379591837], [-8.62885506122449, 41.14484834693877], [-8.62640412244898, 41.14474071428571], [-8.623862448979592, 41.14437630612245], [-8.620595632653062, 41.14284263265306], [-8.618001428571429, 41.14119912244898], [-8.61597, 41.14053]]"
1372636854620000520,"[[-8.574678, 41.151951], [-8.574701142857142, 41.15194328571428], [-8.574698571428572, 41.151935571428574], [-8.574675428571428, 41.15194842857143], [-8.574687, 41.15194842857143], [-8.574720428571428, 41.151930428571426], [-8.574714, 41.151924], [-8.574714, 41.151924], [-8.575099714285713, 41.15107542857143], [-8.576571857142858, 41.150432571428574], [-8.577932142857144, 41.14932171428572], [-8.579050714285716, 41.148072], [-8.57963442857143, 41.14698942857142], [-8.579555999999998, 41.14600971428571], [-8.580744, 41.14503], [-8.582595428571429, 41.14510714285714], [-8.583958285714285, 41.14609071428571], [-8.599505142857142, 41.14613442857143], [-8.610490285714285, 41.14613442857143], [-8.609739428571428, 41.14658957142857], [-8.609045142857143, 41.146893000000006], [-8.608968, 41.147055], [-8.589304285714286, 41.14846671428572], [-8.586862714285713, 41.14907485714286], [-8.587773, 41.14907485714286], [-8.588475, 41.148380571428575], [-8.589218142857142, 41.147454857142854], [-8.590514142857142, 41.14701514285714], [-8.592543, 41.146614], [-8.594409857142857, 41.146297714285716], [-8.596160999999999, 41.14629642857143], [-8.597852999999999, 41.14620385714286], [-8.598744, 41.146111285714284], [-8.59920942857143, 41.14611642857143], [-8.60031642857143, 41.146147285714285], [-8.601057, 41.146101], [-8.602160142857143, 41.14580014285714], [-8.602659000000001, 41.145717857142856], [-8.603067857142857, 41.145643285714286], [-8.603607857142856, 41.14551985714286], [-8.604219857142857, 41.14508528571429], [-8.604828, 41.144013], [-8.605854, 41.142555], [-8.607651428571428, 41.14272471428571], [-8.607970285714286, 41.14280442857143], [-8.607988285714285, 41.142855857142855], [-8.607992142857142, 41.14288285714286], [-8.607992142857142, 41.142895714285714], [-8.608003714285715, 41.142915], [-8.607996, 41.142915]]"
1372637091620000337,"[[-8.645994, 41.18049], [-8.645968285714286, 41.18050542857143], [-8.645963142857143, 41.18045014285715], [-8.646019714285714, 41.18018271428571], [-8.646264, 41.17971728571428], [-8.646696, 41.179053857142854], [-8.647957285714286, 41.17870671428572], [-8.649495, 41.178465], [-8.651012142857143, 41.178177000000005], [-8.652421285714286, 41.177851714285715], [-8.65350642857143, 41.17741457142857], [-8.654324142857144, 41.17740428571429], [-8.654874428571429, 41.17782085714286], [-8.655586714285713, 41.17789414285714], [-8.656353, 41.177853], [-8.658235285714285, 41.17752385714285], [-8.660057142857143, 41.177325857142854], [-8.661697714285715, 41.177521285714285], [-8.663101714285714, 41.178076714285716], [-8.664269142857144, 41.17899214285714], [-8.66579142857143, 41.17892785714285], [-8.667432, 41.178537], [-8.668296, 41.17747242857143], [-8.669291142857142, 41.17646057142857], [-8.670679714285715, 41.17560685714285], [-8.672094, 41.17464514285714], [-8.673534, 41.173575428571425], [-8.67519, 41.17267928571429], [-8.676918, 41.171841], [-8.678697428571429, 41.171902714285714], [-8.680401, 41.172126428571424], [-8.681877, 41.17283614285714], [-8.68342242857143, 41.17335814285715], [-8.685037285714287, 41.17369242857143], [-8.686582714285715, 41.173722], [-8.688105, 41.17365], [-8.688547285714286, 41.174066571428575], [-8.688904714285714, 41.174622], [-8.689007571428572, 41.175594], [-8.689066714285714, 41.17618028571429], [-8.689082142857142, 41.17638085714286], [-8.689074428571429, 41.17650042857143], [-8.689059, 41.176593], [-8.688169285714286, 41.17668557142857], [-8.687467285714286, 41.17690157142857], [-8.687328428571428, 41.17748785714286], [-8.687259, 41.17786585714286], [-8.687259, 41.17803557142857], [-8.687262857142857, 41.17808185714286], [-8.687268, 41.178087]]"
1372636965620000231,"[[-8.615502, 41.140674], [-8.615171387755101, 41.14080257142857], [-8.614823326530612, 41.14093812244898], [-8.614056489795917, 41.14124118367347], [-8.61321324489796, 41.14149281632653], [-8.61149130612245, 41.14115302040816], [-8.609826673469387, 41.140881], [-8.608582285714286, 41.141106], [-8.60722181632653, 41.14133687755102], [-8.605251918367347, 41.1415986122449], [-8.603283857142857, 41.141819020408164], [-8.601323142857144, 41.14187412244898], [-8.599419734693878, 41.14174187755102], [-8.597697795918368, 41.141016367346936], [-8.595963, 41.14042457142857], [-8.594195142857142, 41.1401766122449], [-8.592403775510205, 41.140116734693876], [-8.590562448979592, 41.14045653061224], [-8.588950897959185, 41.14105585714285], [-8.587747836734694, 41.142116571428566], [-8.586373959183673, 41.142934836734696], [-8.584743857142858, 41.14338942857143], [-8.583214775510204, 41.14365612244898], [-8.581814265306123, 41.14368367346939], [-8.580607714285716, 41.14383024489796], [-8.579611285714286, 41.14410575510204], [-8.578724693877552, 41.1443573877551], [-8.577939489795918, 41.144586979591836], [-8.577941142857142, 41.14505057142858], [-8.578561040816327, 41.14569802040817], [-8.579225020408163, 41.14631791836735], [-8.579918387755102, 41.146919448979595], [-8.57973012244898, 41.14786187755102], [-8.579045938775511, 41.14899606122449], [-8.579167346938776, 41.150233285714286], [-8.579667857142857, 41.151519], [-8.580475836734694, 41.152609653061226], [-8.581403387755103, 41.15362444897959], [-8.581800489795919, 41.1544752244898], [-8.582030081632654, 41.155274204081636], [-8.581451510204083, 41.1556433877551], [-8.580670897959184, 41.15590512244898], [-8.579763, 41.156085857142855], [-8.578830857142856, 41.1562511632653], [-8.578678591836734, 41.15690944897959], [-8.578632673469388, 41.157634959183675], [-8.578578306122449, 41.15851255102041], [-8.578523204081632, 41.15940336734694], [-8.578375530612245, 41.16006495918367], [-8.578224, 41.160717]]"
1372637210620000456,"[[-8.57952, 41.145948], [-8.580535714285714, 41.14529871428571], [-8.581698, 41.14503128571428], [-8.582904, 41.145184285714286], [-8.583894, 41.14600071428571], [-8.584873714285713, 41.14654457142857], [-8.585933142857142, 41.146992], [-8.587116, 41.147397], [-8.586441, 41.147840571428574], [-8.586136285714286, 41.148423], [-8.586365142857144, 41.14902085714286], [-8.587740857142856, 41.149310142857146], [-8.589378857142856, 41.149738285714285], [-8.591177571428572, 41.15022171428571], [-8.593119, 41.150736], [-8.593395428571428, 41.15081957142857], [-8.593575428571429, 41.15090314285714], [-8.593907142857143, 41.15086457142857], [-8.595102857142857, 41.15033742857143], [-8.595763714285715, 41.15000057142857], [-8.596476000000001, 41.14956471428572], [-8.597466, 41.148909], [-8.597883857142858, 41.148664714285715], [-8.598313285714285, 41.14847057142857], [-8.598952285714287, 41.14837671428571], [-8.600398714285713, 41.148550285714286], [-8.601279428571429, 41.147865], [-8.601743571428571, 41.147307], [-8.601795, 41.147262], [-8.601775714285713, 41.147281285714286], [-8.601964714285714, 41.14716557142857], [-8.602432714285714, 41.14694057142857], [-8.603461285714285, 41.14663842857143], [-8.603708142857142, 41.146578], [-8.603949857142856, 41.14645971428571], [-8.604477, 41.146164], [-8.604637714285714, 41.145624000000005], [-8.604605571428571, 41.145373285714285], [-8.604515571428571, 41.145201], [-8.604708428571428, 41.144571], [-8.604860142857143, 41.144275285714286], [-8.604590142857143, 41.14399371428571], [-8.603703, 41.143608], [-8.602655142857142, 41.143035857142856], [-8.602668, 41.142753], [-8.603352, 41.14269771428572], [-8.603892, 41.142781285714285], [-8.603989714285714, 41.142798], [-8.603979428571428, 41.14280314285714], [-8.603973, 41.142816]]"
1372637299620000011,"[[-8.617563, 41.146182], [-8.617538755102041, 41.14595773469388], [-8.617336530612246, 41.14549616326531], [-8.616953020408163, 41.14484412244898], [-8.61612869387755, 41.1452441632653], [-8.615750693877551, 41.145419387755105], [-8.615733612244899, 41.145420489795924], [-8.615545714285714, 41.14562657142857], [-8.615340367346938, 41.14623048979592], [-8.615142, 41.14705040816327], [-8.615142, 41.14709889795918], [-8.61540648979592, 41.14719146938776], [-8.615925918367347, 41.14729285714286], [-8.61704724489796, 41.14725042857143], [-8.617566857142856, 41.14722728571429], [-8.617746306122449, 41.147246387755104], [-8.617946326530612, 41.14744034693878], [-8.618364551020408, 41.147997979591835], [-8.61893706122449, 41.14858646938776], [-8.619712897959184, 41.14849555102041], [-8.620328204081634, 41.14868344897959], [-8.620800428571428, 41.149161], [-8.621000448979592, 41.15026414285715], [-8.620975653061224, 41.151406959183674], [-8.620910632653061, 41.152604326530614], [-8.62098336734694, 41.15392567346939], [-8.620909163265306, 41.15487048979592], [-8.620825959183673, 41.15546669387755], [-8.620844142857143, 41.15545457142857], [-8.620828897959184, 41.15563824489796], [-8.620834040816327, 41.15609320408163], [-8.620906775510203, 41.157050877551015], [-8.621966387755101, 41.1577853877551], [-8.623237224489795, 41.15851879591837], [-8.624491897959183, 41.15934918367347], [-8.624671714285714, 41.15961385714286], [-8.624670612244897, 41.1599075510204], [-8.624688795918368, 41.16042881632653], [-8.624701653061225, 41.161125857142856], [-8.624711387755102, 41.161563], [-8.624717448979592, 41.161563], [-8.624723510204081, 41.16155748979592], [-8.624729571428572, 41.16155142857143], [-8.624735632653062, 41.16154536734694], [-8.624736, 41.16153930612245], [-8.624736, 41.161536], [-8.624736, 41.161536], [-8.62473012244898, 41.16154187755102], [-8.624718183673469, 41.161547938775506], [-8.6247, 41.161554]]"
1372637274620000403,"[[-8.611794, 41.140557], [-8.611787204081631, 41.140570591836735], [-8.611895204081632, 41.14057040816326], [-8.61216575510204, 41.140549285714286], [-8.612644040816326, 41.14049969387755], [-8.613459551020409, 41.140377367346936], [-8.614212979591837, 41.14036487755102], [-8.615001857142857, 41.140414285714286], [-8.61583444897959, 41.14049308163265], [-8.61565775510204, 41.14064259183674], [-8.615034734693877, 41.140906163265306], [-8.614513653061225, 41.14136075510204], [-8.614366897959183, 41.142037959183675], [-8.61402030612245, 41.14276512244898], [-8.613282857142858, 41.14346142857143], [-8.61236687755102, 41.14415663265306], [-8.611410857142857, 41.144754673469386], [-8.610697285714286, 41.14445565306122], [-8.610388530612244, 41.14388497959183], [-8.61027263265306, 41.1434891632653], [-8.610108979591837, 41.143384469387755], [-8.60902842857143, 41.14326214285715], [-8.608576040816326, 41.14318389795918], [-8.607737938775509, 41.14285475510204], [-8.606395285714285, 41.14248244897959], [-8.605348714285714, 41.1433115510204], [-8.604780428571429, 41.14430008163265], [-8.604451285714287, 41.14499142857143], [-8.604183857142857, 41.145337285714284], [-8.60358581632653, 41.14553436734694], [-8.602840836734693, 41.14560802040816], [-8.60189657142857, 41.14568442857143], [-8.600940551020408, 41.14587067346939], [-8.600485224489796, 41.1463871632653], [-8.600126877551022, 41.14701275510204], [-8.599421571428572, 41.147709428571424], [-8.59861157142857, 41.14829810204081], [-8.598326142857143, 41.14841363265306], [-8.598521571428572, 41.149147408163266], [-8.59812906122449, 41.150287285714285], [-8.59724981632653, 41.15178073469388], [-8.596216836734694, 41.153581653061224], [-8.595215999999999, 41.15532471428571], [-8.594521163265306, 41.15652373469388], [-8.593902367346939, 41.15759565306122], [-8.593025693877552, 41.15914512244898], [-8.591864693877552, 41.16096569387755], [-8.590704612244899, 41.16251167346939], [-8.589796163265307, 41.16341773469387], [-8.589402, 41.163309]]"
1372637905620000320,"[[-8.615907, 41.140557], [-8.615371408163265, 41.14075206122449], [-8.614835816326531, 41.140947122448985], [-8.614354408163265, 41.141122897959185], [-8.61401387755102, 41.141248530612245], [-8.613673346938775, 41.141374163265304], [-8.612783632653061, 41.14130693877551], [-8.611454571428572, 41.14108542857143], [-8.610125510204082, 41.14086391836735], [-8.609719408163265, 41.140427510204084], [-8.609497897959184, 41.13994812244898], [-8.609310918367347, 41.13949518367347], [-8.60940018367347, 41.139253836734696], [-8.609489448979591, 41.13901248979592], [-8.609720142857142, 41.13867728571429], [-8.610173081632654, 41.138194591836736], [-8.610626020408164, 41.137711897959186], [-8.61094230612245, 41.13717410204082], [-8.611190265306123, 41.136608755102046], [-8.611438224489795, 41.13604340816327], [-8.611164734693878, 41.135509285714285], [-8.61086057142857, 41.134977], [-8.610517469387755, 41.13455344897959], [-8.610038081632652, 41.134510469387756], [-8.60955869387755, 41.13446748979592], [-8.609079306122448, 41.134455918367344], [-8.608599918367347, 41.13447575510204], [-8.608120530612245, 41.13449559183674], [-8.608006285714286, 41.134510285714285], [-8.607996367346939, 41.13452351020408], [-8.607987, 41.134535632653055], [-8.607987, 41.13452902040816], [-8.607987, 41.134522408163264], [-8.607971571428571, 41.13452020408163], [-8.607925285714286, 41.13452681632653], [-8.607879, 41.13453342857142], [-8.60784281632653, 41.134538020408165], [-8.60781306122449, 41.13454132653061], [-8.60778330612245, 41.13454463265306], [-8.607659510204082, 41.134539122448984], [-8.607523959183673, 41.13453251020408], [-8.607292530612245, 41.13451873469388], [-8.606581714285715, 41.13446914285714], [-8.605870897959184, 41.13441955102041], [-8.605333469387755, 41.134356734693874], [-8.605012775510204, 41.1342773877551], [-8.604692081632653, 41.13419804081632], [-8.604600612244898, 41.13417122448979], [-8.604597306122448, 41.134164612244895], [-8.604594, 41.134158]]"
