,0
0,-17754634.0
1,-22386098.0
2,-20753012.0
3,-11330484.0
4,-8830692.0
5,-5333434.5
6,-6207193.0
7,-4953872.0
8,-4814438.0
9,-4962426.0
10,-3966632.8
11,-3242768.0
12,-2683559.8
13,-2879422.8
14,-2917044.0
15,-1548794.9
16,-1675300.9
17,-3039983.2
18,-1411799.4
19,-1686455.8
20,-1407266.4
21,-1504366.8
22,-1223547.6
23,-1090698.0
24,-1104460.1
25,-796439.6
26,-777279.56
27,-1013241.7
28,-742751.0
29,-846524.3
30,-605633.1
31,-876222.1
32,-717639.56
33,-627250.6
34,-557085.06
35,-529495.94
36,-509945.16
37,-665954.9
38,-522234.5
39,-473733.12
40,-409591.5
41,-433623.62
42,-453188.84
43,-508500.97
44,-284843.44
45,-338252.22
46,-489505.2
47,-303430.94
48,-344783.56
49,-267950.75
50,-258217.38
51,-284853.9
52,-301537.53
53,-373221.12
54,-247372.3
55,-261740.2
56,-243322.9
57,-208316.53
58,-223741.2
59,-186518.19
60,-180547.88
61,-188244.77
62,-227967.98
63,-190706.61
64,-193074.56
65,-170146.02
66,-215336.28
67,-192259.06
68,-178635.86
69,-208979.81
70,-161544.9
71,-171299.88
72,-169495.52
73,-186128.31
74,-155555.8
75,-143593.39
76,-147942.5
77,-136087.69
78,-142911.0
79,-131644.92
80,-132189.47
81,-137374.22
82,-123476.97
83,-122136.805
84,-117850.17
85,-113187.15
86,-111537.12
87,-108644.28
88,-99377.26
89,-105845.13
90,-102674.95
91,-109981.76
92,-107533.34
93,-102718.63
94,-107312.21
95,-100137.02
96,-103245.96
97,-99361.21
98,-95258.11
99,-96232.88
100,-94679.64
101,-89702.13
102,-93900.17
103,-88464.12
104,-88868.195
105,-88760.234
106,-88362.91
107,-86906.766
108,-83344.55
109,-83537.78
110,-84823.78
111,-81554.68
112,-83250.76
113,-81563.3
114,-81095.96
115,-81489.01
116,-81398.56
117,-80165.414
118,-80422.055
119,-78766.15
120,-79272.46
121,-78940.49
122,-77824.64
123,-77983.83
124,-77628.31
125,-76957.664
126,-77605.95
127,-76701.63
128,-76312.734
129,-75718.27
130,-75764.914
131,-76005.625
132,-75544.875
133,-75653.664
134,-74964.48
135,-75262.734
136,-75480.38
137,-74867.28
138,-74736.67
139,-74621.27
140,-74609.3
141,-73327.83
142,-73966.516
143,-73374.28
144,-73309.55
145,-73383.99
146,-73365.98
147,-72843.234
148,-72957.3
149,-73978.39
150,-72968.21
151,-72474.72
152,-73985.234
153,-73298.875
154,-74384.19
155,-72638.07
156,-72511.875
157,-72791.67
158,-72982.914
159,-72904.66
160,-72467.18
161,-73059.73
162,-72366.34
163,-71965.71
164,-72967.875
165,-73116.92
166,-73527.49
167,-72701.16
168,-72957.48
169,-71748.97
170,-73352.32
171,-71614.96
172,-71328.04
173,-72520.66
174,-71954.79
175,-72179.79
176,-71304.52
177,-71833.85
178,-72398.99
179,-71272.93
180,-71682.45
181,-70615.6
182,-69846.805
183,-71743.28
184,-70556.91
185,-71657.95
186,-70762.72
187,-69633.33
188,-70781.11
189,-70112.6
190,-70923.69
191,-69990.11
192,-69573.99
193,-68877.4
194,-69606.695
195,-68677.5
196,-70131.64
197,-69938.54
198,-68578.016
199,-68468.68
200,-69219.55
201,-69959.695
202,-67941.5
203,-69513.42
204,-68914.13
205,-68923.44
206,-68703.94
207,-68297.51
208,-68757.63
209,-69033.305
210,-68654.58
211,-68223.875
212,-68056.414
213,-67841.26
214,-68323.15
215,-68293.75
216,-67966.805
217,-67734.91
218,-67608.484
219,-67106.16
220,-67504.71
221,-68143.734
222,-68270.625
223,-67781.68
224,-68200.055
225,-67638.29
226,-67905.28
227,-67344.195
228,-67331.03
229,-66056.74
230,-67123.6
231,-67908.83
232,-67407.79
233,-66894.086
234,-66790.4
235,-67098.18
236,-66900.016
237,-66698.5
238,-66061.06
239,-66214.38
240,-66679.766
241,-66235.29
242,-66450.4
243,-67038.53
244,-66148.17
245,-66081.41
246,-67342.23
247,-65701.16
248,-65670.81
249,-65595.016
250,-65533.043
251,-65868.8
252,-65678.81
253,-66053.445
254,-64707.027
255,-65971.555
256,-64937.46
257,-65411.22
258,-65341.3
259,-65273.484
260,-64761.375
261,-65956.28
262,-64663.69
263,-64413.56
264,-65532.72
265,-64668.344
